,base_weight,overlay_weight,weight_diff,abs_weight_diff,base_cum_weight,overlay_cum_weight
2018-02-06,0.0013058438934879424,0.0013058438934879424,0.0,0.0,0.020702219396453808,0.020702219396453808
2018-02-07,0.0009957194318607266,0.0009957194318607266,0.0,0.0,0.021697938828314535,0.021697938828314535
2018-02-08,0.000980077918654601,0.000980077918654601,0.0,0.0,0.022678016746969135,0.022678016746969135
2018-02-09,0.0008199526458563002,0.0008199526458563002,0.0,0.0,0.023497969392825436,0.023497969392825436
2018-02-10,0.0007196743517806737,0.0007196743517806737,0.0,0.0,0.02421764374460611,0.02421764374460611
2018-02-11,0.0007286240392878463,0.0007286240392878463,0.0,0.0,0.024946267783893958,0.024946267783893958
2018-02-12,0.000791475142932715,0.000791475142932715,0.0,0.0,0.025737742926826672,0.025737742926826672
2018-02-13,0.0006399660696560112,0.0006399660696560112,0.0,0.0,0.026377708996482684,0.026377708996482684
2018-02-14,0.000692143607664245,0.000692143607664245,0.0,0.0,0.02706985260414693,0.02706985260414693
2018-02-15,0.0005470146577018551,0.0005470146577018551,0.0,0.0,0.027616867261848786,0.027616867261848786
2018-02-16,0.0004692508833662451,0.0004692508833662451,0.0,0.0,0.02808611814521503,0.02808611814521503
2018-02-17,0.0004615535830390787,0.0004615535830390787,0.0,0.0,0.02854767172825411,0.02854767172825411
2018-02-18,0.0003757615611378062,0.0003757615611378062,0.0,0.0,0.028923433289391915,0.028923433289391915
2018-02-19,0.00044032419982162287,0.00044032419982162287,0.0,0.0,0.02936375748921354,0.02936375748921354
2018-02-20,0.0003776156448195792,0.0003776156448195792,0.0,0.0,0.02974137313403312,0.02974137313403312
2018-02-21,0.0003724382240952766,0.0003724382240952766,0.0,0.0,0.030113811358128396,0.030113811358128396
2018-02-22,0.00045101265341040427,0.00045101265341040427,0.0,0.0,0.0305648240115388,0.0305648240115388
2018-02-23,0.0005171313846475121,0.0005171313846475121,0.0,0.0,0.03108195539618631,0.03108195539618631
2018-02-24,0.00048486554153985963,0.00048486554153985963,0.0,0.0,0.03156682093772617,0.03156682093772617
2018-02-25,0.0005404835881693785,0.0005404835881693785,0.0,0.0,0.032107304525895546,0.032107304525895546
2018-02-26,0.0005496352591678784,0.0005496352591678784,0.0,0.0,0.03265693978506343,0.03265693978506343
2018-02-27,0.00046741166592473537,0.00046741166592473537,0.0,0.0,0.03312435145098816,0.03312435145098816
