overlay_strength,score,win_rate,exp_decay_percentile,mean_excess,median_excess,mean_ratio,median_ratio,total_windows
2.0,58.587118,77.391304,39.782932,1.357787,1.016116,1.037955,1.022306,115
3.0,57.763443,76.521739,39.005148,1.04725,0.958472,1.028713,1.022487,115
0.25,55.652844,70.434783,40.870906,1.666909,1.097855,1.047345,1.021604,115
0.5,55.587047,70.434783,40.739312,1.643836,1.100646,1.046643,1.021659,115
1.0,55.443473,70.434783,40.452164,1.577452,1.09384,1.044623,1.021745,115
0.0,55.279919,69.565217,40.99462,1.683461,1.091627,1.047847,1.021482,115
5.0,49.618191,61.73913,37.497252,0.379876,0.227974,1.008603,1.007548,115
