window,min_sats_per_dollar,max_sats_per_dollar,uniform_sats_per_dollar,dynamic_sats_per_dollar,uniform_percentile,dynamic_percentile,excess_percentile
2025-06-15 → 2025-12-12,801.1250765566017,1179.5930188992104,924.9110212458605,938.5694201640217,32.7071148808692,36.3159803593083,3.6088654784390997
2025-06-16 → 2025-12-13,801.1250765566017,1179.5930188992104,925.7968721629303,939.0811589292894,32.94117721956732,36.45119359879699,3.5100163792296684
2025-06-17 → 2025-12-14,801.1250765566017,1179.5930188992104,926.916577746854,940.272732951466,33.23702937998891,36.766035065897505,3.5290056859085936
2025-06-18 → 2025-12-15,801.1250765566017,1179.5930188992104,928.0341441050778,943.5305454258689,33.53231630741169,37.62682460971937,4.0945083023076805
2025-06-19 → 2025-12-16,801.1250765566017,1179.5930188992104,929.058966271522,944.8614175978757,33.803098070353315,37.97847187573855,4.1753738053852345
2025-06-20 → 2025-12-17,801.1250765566017,1179.5930188992104,930.2024187035155,946.2190212748297,34.10522469828272,38.33718222477124,4.231957526488522
2025-06-21 → 2025-12-18,801.1250765566017,1179.5930188992104,931.3195601640518,947.5059051204039,34.400399357891025,38.677206755675684,4.276807397784658
2025-06-22 → 2025-12-19,801.1250765566017,1179.5930188992104,932.1452138974723,948.7372066536534,34.61855620581583,39.00254515174382,4.383988945927989
2025-06-23 → 2025-12-20,801.1250765566017,1179.5930188992104,932.9270471921296,949.7772697853738,34.82513467843836,39.277353930865964,4.452219252427604
2025-06-24 → 2025-12-21,801.1250765566017,1179.5930188992104,933.9304842185988,950.4219755194324,35.09026599187491,39.44770012454039,4.357434132665482
2025-06-25 → 2025-12-22,801.1250765566017,1179.5930188992104,934.9611665512028,951.3401208069971,35.36259614650422,39.69029538422914,4.3276992377249215
2025-06-26 → 2025-12-23,801.1250765566017,1179.5930188992104,936.136236472996,952.7598886806293,35.673076847860266,40.06543095445583,4.392354106595562
2025-06-27 → 2025-12-24,801.1250765566017,1179.5930188992104,937.278505143611,952.8870443120578,35.97489069860407,40.09902841865358,4.124137720049511
2025-06-28 → 2025-12-25,801.1250765566017,1179.5930188992104,938.4530454710709,954.3552693191675,36.28523146886583,40.48696748636479,4.201736017498959
2025-06-29 → 2025-12-26,801.1250765566017,1179.5930188992104,939.6328938653246,955.9431853472995,36.59697475336986,40.906531695238925,4.309556941869069
2025-06-30 → 2025-12-27,801.1250765566017,1179.5930188992104,940.8343766199032,956.6699740737334,36.914434337170206,41.09856611747699,4.184131780306785
2025-07-01 → 2025-12-28,801.1250765566017,1179.5930188992104,941.9746394117503,957.70032909972,37.2157181882645,41.37080979011382,4.155091601849314
2025-07-02 → 2025-12-29,801.1250765566017,1179.5930188992104,943.0817807850347,958.0294864499092,37.508250593104776,41.45778078907131,3.949530195966531
2025-07-03 → 2025-12-30,801.1250765566017,1179.5930188992104,944.257539541258,959.8959702983082,37.81891330047854,41.950949070867104,4.132035770388562
2025-07-04 → 2025-12-31,801.1250765566017,1179.5930188992104,945.5309887992188,961.5752348906026,38.1553881020373,42.39464968706732,4.239261585030022
